,id,mass,metallicity
144,19652,0.022154,0.00414911
145,19699,0.070039,0.0160397
146,19739,0.043539,0.0188748
147,19745,0.064555,0.0109237
148,19750,0.048583,0.0113596
149,19809,0.041953,0.0141469
150,20043,0.019542,0.0157972
151,20094,0.001824,0.0209084
152,20456,0.010029,0.0
153,24112,308.997,0.0161255
154,24113,15.3611,0.0173837
155,24114,7.3323,0.0179379
156,24115,2.37679,0.022452
157,24116,1.96142,0.0177131
158,24118,1.26565,0.0141355
159,24119,1.0609,0.0194327
160,24121,1.20481,0.0155487
161,24122,0.690432,0.0352981
162,24123,0.38455,0.0275084
163,24124,0.723217,0.0276276
164,24125,0.836085,0.0135306
165,24126,0.337644,0.015342
166,24127,0.477539,0.0114009
167,24128,0.618797,0.00900591
168,24129,0.261643,0.0179217
169,24130,0.362187,0.0116451
170,24131,0.165242,0.0158579
171,24132,0.161999,0.0126
172,24134,0.053313,0.0585238
173,24135,0.120666,0.0125554
174,24137,0.048968,0.0399169
175,24138,0.023543,0.0156059
176,24143,0.043089,0.00747155
177,24147,0.041731,0.00913543
178,24149,0.01116,0.00954701
179,24162,0.022432,0.0589392
180,24166,0.086233,0.00991486
181,24167,0.026103,0.0517709
182,24168,0.040545,0.00406422
183,24170,0.033609,0.0579537
184,24176,0.02167,0.0511355
185,24187,0.185003,0.00905979
186,24213,0.110147,0.00816601
187,24222,0.09147,0.00973365
188,24224,0.088338,0.00906114
189,24273,0.053202,0.00950627
190,24277,0.053144,0.0135192
191,24283,0.053564,0.00699438
192,24305,0.047804,0.0100617
193,24308,0.053192,0.00523293
194,24310,0.043528,0.0188825
195,24338,0.04266,0.0100556
196,24362,0.029366,0.00873668
197,24365,0.035309,0.0129265
198,24385,0.03541,0.00888624
199,24401,0.033197,0.00995367
200,24429,0.030102,0.00857151
201,24452,0.025819,0.00765517
202,24476,0.022154,0.00855215
203,24535,0.018577,0.0092932
204,24874,0.008561,0.0100327
205,25118,0.007392,0.0
206,28044,166.705,0.00938287
207,28045,34.275,0.00909021
208,28046,4.619,0.0183364
209,28047,2.23204,0.0229442
210,28048,1.712,0.031811
211,28049,1.0731,0.0282389
212,28051,0.747101,0.0272466
213,28052,0.457141,0.0153883
214,28053,0.344384,0.0301489
215,28054,0.170135,0.0203898
216,28055,0.421194,0.0108636
217,28056,0.11719,0.0182809
218,28057,0.053951,0.0338259
219,28058,0.155458,0.0169918
220,28059,0.023408,0.035862
221,28060,0.123036,0.0174843
222,28061,0.258048,0.0075627
223,28062,0.024117,0.0303396
224,28063,0.035979,0.0291222
225,28065,0.094974,0.0189879
226,28066,0.278938,0.00443847
227,28068,0.236712,0.00645884
228,28069,0.012492,0.0312354
229,28070,0.03754,0.0155641
230,28079,0.033869,0.0538332
231,28080,0.022656,0.00991339
232,28090,0.015499,0.029826
233,28092,0.043683,0.0522988
234,28094,0.012352,0.0767471
235,28115,0.010774,0.0468299
236,28160,0.015003,0.0437391
237,28195,0.020887,0.0397064
238,28221,0.044353,0.00908709
239,28339,0.021144,0.0120579
240,28368,0.000938,0.0271635
241,28401,0.016879,0.0159453
242,28405,0.015848,0.00890236
243,31028,301.332,0.0109945
244,31029,0.671278,0.0272587
245,31030,7.27772,0.0277961
246,31032,1.8178,0.0233909
247,31033,2.22098,0.015588
248,31034,0.691877,0.0318621
249,31036,0.740361,0.020536
250,31037,0.480479,0.0265439
251,31038,0.027386,0.0441252
252,31039,0.012627,0.0404923
253,31042,0.179594,0.0194314
254,31043,0.250298,0.0201961
255,31045,0.298291,0.00525929
256,31048,0.353844,0.00682512
257,31050,0.056154,0.0129833
258,31061,0.154583,0.0100033
259,31063,0.027808,0.00073044
260,31088,0.03433,0.00906533
261,31093,0.133902,0.0134624
262,31094,0.02429,0.0286756
263,31120,0.015837,0.0101229
264,31194,0.036676,0.00605168
265,31235,0.006561,0.03737
266,31317,0.010286,0.0167382
267,31416,0.009883,0.00982299
268,33290,290.084,0.0083077
269,33291,0.353647,0.0281856
270,33292,0.103201,0.0492035
271,33294,0.759968,0.0150143
272,33295,0.012003,0.0373924
273,33297,0.111597,0.0146462
274,33299,0.007584,0.0260426
275,33307,0.014379,0.00569686
276,33315,0.039962,0.00419571
277,33324,0.027443,0.00155135
278,35151,224.189,0.00857354
279,35152,6.0929,0.0163734
280,35153,0.716671,0.0216902
281,35154,0.338486,0.0282536
282,35155,1.14588,0.0107104
283,35156,0.777461,0.015245
284,35157,0.286184,0.0180874
285,35159,0.106795,0.0484563
286,35160,0.040111,0.0428298
287,35161,0.301735,0.0152227
288,35162,0.147498,0.015448
289,35163,0.053218,0.0171704
290,35164,0.411963,0.00693716
291,35167,0.027411,0.0260079
292,35169,0.005812,0.0505735
293,35194,0.020286,0.0144979
294,35292,0.037218,0.00923995
295,35295,0.033975,0.00569438
296,35418,0.015203,0.00454216
297,35551,0.008824,0.003508
298,37127,194.857,0.0238474
299,37129,3.0494,0.0324253
